,ChEMBL_ID,SMILES,pIC50,Metabolite
16,CHEMBL3215768,Cl.Cl.Cl.Cl.O=C(NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)OCCC3,8.15,0
17,CHEMBL610242,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3coc([N+](=O)[O-])c3)cc1)C2.[I-],8.35,0
18,CHEMBL2380667,O=C1/C(=C/c2cccc3ccccc23)CN(C(=O)[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2cc(Cl)ccc23)C/C1=C\c1cccc2ccccc12,5.24,0
19,CHEMBL409610,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31[C@H](O)CN(C)C2,5.79,0
20,CHEMBL1642986,CC(C)(C)c1cc[n+](Cc2cccc(C[n+]3ccc(C(C)(C)C)cc3)c2)cc1.[Br-].[Br-],6.16,0
21,CHEMBL1243012,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2,7.4,0
22,CHEMBL173607,CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1C)Cc1ccccc1C,7.78,0
23,CHEMBL572480,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCNC(=O)CCCCC2CCSS2)=CC1=O)Cc1ccccc1OC,7.0,0
24,CHEMBL2332545,O=C1/C(=C/c2cccc3ccccc23)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1cccc2ccccc12,5.17,0
25,CHEMBL136052,CC(=O)N(C)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@]12C,4.3,0
26,CHEMBL334971,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,5.96,0
27,CHEMBL337714,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,6.3,0
28,CHEMBL1651127,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCNCC2,7.6,0
29,CHEMBL130112,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,5.62,0
30,CHEMBL2332980,O=C1/C(=C/c2ccc(F)cc2)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccc(F)cc1,4.7,0
31,CHEMBL2332978,Cc1ccc(/C=C2\CN(C(=O)C[C@H]3C[C@H]4CCCN4[C@]34C(=O)Nc3ccccc34)C/C(=C\c3ccc(C)cc3)C2=O)cc1,4.7,0
32,CHEMBL2332977,O=C1/C(=C/c2ccc(Cl)cc2Cl)CN(C(=O)C[C@H]2C[C@H]3CCCN3[C@]23C(=O)Nc2ccccc23)C/C1=C\c1ccc(Cl)cc1Cl,5.39,0
33,CHEMBL3628055,O=C(NCCc1c[nH]c2ccccc12)c1cc[n+](Cc2ccccc2)cc1.[Br-],5.38,0
34,CHEMBL3628066,COc1ccc2[nH]cc(CCNC(=O)/C=C/c3cc[n+](Cc4ccccc4F)cc3)c2c1.[Br-],6.58,0
35,CHEMBL2113719,O=C(CCCCCCC(=O)NCCCCCCN1CC[C@H]2COc3ccccc3[C@H]21)NCCCCCCN1CC[C@H]2COc3ccccc3[C@H]21,5.01,0
36,CHEMBL24844,COc1ccc(-c2cc3c(c(=O)o2)C(=O)C2[C@@]4(C)CC[C@H](O)[C@@](C)(CO)C4C[C@H](O)[C@@]2(C)O3)cc1OC,4.24,0
37,CHEMBL147517,C#CC(C)(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],4.62,0
38,CHEMBL340929,CC(C)(C)OC(=O)n1cc(/C=C2\CN(Cc3ccccc3)CCC2=O)c2ccccc21,4.52,0
39,CHEMBL609440,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc([N+](=O)[O-])o4)cc3)sc2cc1OC.[Br-],8.35,0
40,CHEMBL87441,CCOCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,8.15,0
41,CHEMBL1669493,[Br-].[Br-].c1ccc2c[n+](Cc3ccc(C[n+]4ccc5ccccc5c4)cc3)ccc2c1,4.92,0
42,CHEMBL2413560,c1ccc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc2c1,5.99,0
43,CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,6.12,0
44,CHEMBL1202875,Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,6.15,0
45,CHEMBL87170,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,8.34,0
46,CHEMBL319541,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(Cc3ccccc3)C12,6.61,0
47,CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,6.17,0
48,CHEMBL479291,[O-]c1cc2c3c(c1)c1cc4c(cc1c[n+]3CC2)OCO4,5.42,0
49,CHEMBL338975,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.O=C(O)c1ccccc1O,7.55,0
50,CHEMBL104613,[Br-].[Br-].c1ccc2c[n+](CCCCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,7.0,0
51,CHEMBL511468,COc1ccc(C(=O)c2ccc(CN(CCO)Cc3ccccc3)cc2)cc1OC,5.85,0
52,CHEMBL1917825,C=CCCCNc1c2c(nc3ccc(OC)cc13)CCCC2,5.66,0
53,CHEMBL491561,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccccc1C(F)(F)F)CCCC3,6.65,0
54,CHEMBL3126996,CCN(CCCCOc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1)Cc1ccccc1OC,5.41,0
55,CHEMBL442813,CC(C)(O)[C@@H]1Cc2cc3ccc(=O)oc3cc2O1,4.17,0
56,CHEMBL123248,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)O[C@@H]1N2C,6.82,0
57,CHEMBL149017,C#CCCCC[n+]1ccccc1/C=N/O.[Cl-],4.21,0
58,CHEMBL1669494,[Br-].[Br-].c1ccc2c[n+](Cc3ccc4ccc(C[n+]5ccc6ccccc6c5)cc4c3)ccc2c1,6.52,0
59,CHEMBL3343925,COc1ccc(-c2nc(C(=O)NCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc3c2[nH]c2ccccc23)cc1,6.83,0
60,CHEMBL222037,CCN(CCCCCCNc1ccc(Cc2ccc(NCCCCCCN(CC)Cc3ccccc3OC)cc2)cc1)Cc1ccccc1OC,5.97,0
61,CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,6.1,0
62,CHEMBL416772,CCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.56,0
63,CHEMBL1242180,CN(C)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1.[I-],6.3,0
64,CHEMBL4172271,COc1cc2c3c(c1)c1cc(=O)c(OC)cc-1cn3CC2,4.45,0
65,CHEMBL202661,O=C(CCCCCNc1c2c(nc3cccc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,9.06,0
66,CHEMBL534932,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2.Cl.Cl,9.48,0
67,CHEMBL222856,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC.O=C(O)C(=O)O,6.77,0
68,CHEMBL4086248,COc1ccc(CCNc2nc(NC3CC3)nc3ccccc23)cc1OC,5.14,0
69,CHEMBL4083601,CCCNc1nc(NCCc2ccccc2)c2ccccc2n1,5.14,0
70,CHEMBL4091385,c1ccc(CCNc2nc(NC3CC3)nc3ccccc23)cc1,5.07,0
71,CHEMBL4098421,CNc1nc(NCc2ccc(OC)c(OC)c2)c2ccccc2n1,5.14,0
72,CHEMBL1161715,Nc1c2c(nc3ccc(O)cc13)CCCC2,6.79,0
73,CHEMBL4081795,Oc1cc(O)cc(/C=C/c2ccc(Nc3c4c(nc5cc(Cl)ccc35)CCCC4)cc2)c1,5.06,0
74,CHEMBL143055,CCN(CCCCCC(=O)N(CCCCCCCCN(C(=O)CCCCCN(CC)Cc1ccccc1OC)C(C)C)C(C)C)Cc1ccccc1OC,7.74,0
75,CHEMBL136317,C[C@H](NC=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@]12C,5.19,0
76,CHEMBL154263,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,6.54,0
77,CHEMBL87128,CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],6.55,0
78,CHEMBL4284619,CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccc(OC)cc4)cc3)CC2)CC1,4.75,0
79,CHEMBL4276694,CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccccc4F)cc3)CC2)CC1,4.72,0
80,CHEMBL34000,Cn1cc[n+](COCCCc2ccccc2)c1/C=N/O.[Cl-],4.67,0
81,CHEMBL136669,CCC(=O)Oc1ccc(C)c([N+](C)(C)C)c1,4.16,0
82,CHEMBL610219,COc1ccc2c(c1)C/C(=C\c1ccc(CN(C)Cc3ccccc3)cc1)C2=O,4.54,0
83,CHEMBL1076260,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2cccnc2s1,6.36,0
84,CHEMBL2206899,Nc1c2c(nc3c1C(c1c(Cl)cccc1Cl)c1ccc4ccccc4c1O3)CCCC2,5.4,0
85,CHEMBL145928,C#CC(CCC)OC[n+]1ccn(C)c1/C=N/O.[Cl-],5.08,0
86,CHEMBL1669487,[Cl-].[Cl-].c1ccc2c[n+](COC[n+]3ccc4ccccc4c3)ccc2c1,5.7,0
87,CHEMBL189906,CNC(=O)Oc1cccc2c1OCC1CCN(C)C21,7.52,0
88,CHEMBL1834064,CC(=O)N1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,4.86,0
89,CHEMBL4524111,CC1=C[C@@H]2Cc3nc4cc(F)ccc4c(N)c3[C@H](C1)C2,8.34,0
90,CHEMBL179320,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)C2(C)CCOC2O3)cc1,5.58,0
91,CHEMBL2368067,C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)[C@H]1O,4.52,0
92,CHEMBL381782,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@H]1N2C,5.26,0
93,CHEMBL206237,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@@]2(C)CCO[C@H]2O3)cc1,5.17,0
94,CHEMBL60596,C=CC[N+](C)(C)c1ccccc1O.[Br-],5.73,0
95,CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,6.52,0
96,CHEMBL3262670,COc1cc2c(cc1OC)C(Cc1ccc(OCCCCCCN3CCC(O)(Cc4ccccc4)CC3)cc1)NCC2,4.4,0
97,CHEMBL3263732,COc1ccc2[nH]cc(CCNC(=O)c3ccc(CN(C)Cc4cccc(Cl)c4)cc3)c2c1,5.25,0
98,CHEMBL137560,Cc1ccc([N+](C)(C)C)cc1O,5.51,0
99,CHEMBL128172,O=C1CCN(Cc2ccccc2)C/C1=C\c1c[nH]c2ccccc12,5.1,0
100,CHEMBL149230,CCC(OC[n+]1ccn(C)c1/C=N/O)C(C)(C)C.[Cl-],4.62,0
101,CHEMBL33727,CCCCNC(=O)Oc1ccc2c(c1)[C@@H]1CCN(CC)C1C2,5.97,0
102,CHEMBL3605423,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4ccc(Cl)cc4)[nH]3)ccc21,5.17,0
103,CHEMBL3597054,CCOC(=O)C1=C(Nc2ccc(C)cc2)C[C@@H](c2ccccc2)N(c2ccc(C)cc2)[C@@H]1c1ccccc1,5.29,0
104,CHEMBL150638,C#CCN(C)CCc1cccc(OC(=O)N(C)C)c1,6.07,0
105,CHEMBL151923,C#CCNC(C)Cc1cccc(OC(=O)N(C)CC)c1,4.47,0
106,CHEMBL1651040,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC[C@H]4[C@](C)(CO)[C@@H](NC(=O)c5ccccc5)C=C[C@]4(O)CC3=CC[C@]2(C)[C@H]1[C@H](C)N(C)C,4.52,0
107,CHEMBL1651038,CN[C@H]1CCC2=CC3=CC[C@]4(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]4(C)[C@@H]3CC[C@H]2C1(C)C,4.4,0
108,CHEMBL99284,CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,5.25,0
109,CHEMBL2160220,CN(CCCCCCCOc1ccc(-c2oc3ccccc3c2C(=O)c2c3ccccc3cc3ccccc23)cc1)Cc1ccccc1,4.17,0
110,CHEMBL147213,CC(CC(C)(C)C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],4.49,0
111,CHEMBL1773488,CCN(CC)CCCCCCOc1ccc(C(=O)c2ccc(CN(C)Cc3ccccc3)cc2)cc1,6.59,0
112,CHEMBL1202874,Cl.Cl.c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,6.33,0
113,CHEMBL557405,CNC(=O)Oc1cccc(CN(C)CCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1.Cl,8.17,0
114,CHEMBL157410,CN1CCC(CC2=Cc3ccccc3C2)CC1,5.36,0
115,CHEMBL3985059,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc(F)cc3)CC1)C2,7.39,0
116,CHEMBL3892502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc(C(F)(F)F)cc3)CC1)C2,5.26,0
117,CHEMBL19557,CCN(CC)CCS/C(=N\O)c1nc(C)no1,4.05,0
118,CHEMBL1651131,O=C(CCC1CCN(Cc2ccccc2F)CC1)c1cc2c3c(ccn3C(=O)CC2)c1,8.6,0
119,CHEMBL1651132,O=C(CCC1CCN(Cc2cccc(F)c2)CC1)c1cc2c3c(ccn3C(=O)CC2)c1,8.89,0
120,CHEMBL347527,CNCCc1cccc(OC(=O)N(C)C)c1,6.55,0
121,CHEMBL293842,COc1ccc2c(c1)-c1nc3ccccc3c(N)c1C2,5.37,0
122,CHEMBL555919,C#CCNC1CCc2cccc(OC(=O)N(C)C)c21.Cl,5.6,0
123,CHEMBL318517,CN(C)Cc1ccc(CSCCNc2cc(NCCCN3CCOCC3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,6.43,0
124,CHEMBL106348,CN(C)CCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-],6.28,0
125,CHEMBL104334,CN(C)Cc1ccc(CSCCNc2cc(Nc3ncccc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])o1,6.19,0
126,CHEMBL188714,COC(=O)C[N+]1(C)CCC(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)CC1,7.27,0
127,CHEMBL4075021,COc1cc(/C=C/C(=O)O)ccc1OCCCCCCN1CCCCC1,4.34,0
128,CHEMBL269863,O=C(CCO[N+](=O)[O-])NCCCNc1c2c(nc3ccccc13)CCCC2,7.03,0
129,CHEMBL4084714,COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCCCCCN(C)C,5.05,0
130,CHEMBL4094761,CCOC(=O)/C=C/c1ccc(OCCCCCCN2CCCCC2)c(OC)c1,5.58,0
131,CHEMBL4101703,COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCN1CCCC1,4.45,0
132,CHEMBL32329,Clc1cccc(Cl)c1CO/N=C/c1cc[n+](CCCc2ccccc2)cc1,6.75,0
133,CHEMBL32653,CCCNC(=O)Oc1ccc2c(c1)[C@@H]1CCN(CC)C1C2,5.66,0
134,CHEMBL205321,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CO[C@@H](C2)O3)cc1,5.46,0
135,CHEMBL3361270,O=S(=O)(CCCN1CCN(Cc2ccccc2)CC1)NCCNc1cccc2ccccc12,6.8,0
136,CHEMBL139819,CCC1=CC2Cc3nc4cccc(Cl)c4c(N)c3C(C1)C2,7.93,0
137,CHEMBL3338992,CN(C)CCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,5.05,0
138,CHEMBL3339007,CCCCN(CCCC)CCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,4.11,0
139,CHEMBL3343930,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,6.94,0
140,CHEMBL3343932,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,6.82,0
141,CHEMBL65356,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,6.03,0
142,CHEMBL222044,CCN(CCCCCCNc1ccc(-c2ccc(NCCCCCCN(CC)Cc3ccccc3OC)cc2)cc1)Cc1ccccc1OC,5.58,0
143,CHEMBL222946,CCN(CCCCCC(=O)N1CCC(CC2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC.O=C(O)C(=O)O,8.48,0
144,CHEMBL188011,COC(=O)c1ccc(C[n+]2ccc(CCC(=O)C3Cc4cc(OC)c(OC)cc4S3)cc2)cc1,6.0,0
145,CHEMBL360832,COc1cc2c(cc1OC)SC(C(=O)CC1(O)CC[N+](C)(Cc3ccccc3)CC1)C2,7.05,0
146,CHEMBL321605,CN(C)Cc1ccc(CSCCNc2cc(NN)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,7.12,0
147,CHEMBL3754448,CCN(Cc1cccc2[nH]c3cc(Cl)ccc3c12)C(=O)/C=C/c1ccc(O)c(OC)c1,5.16,0
148,CHEMBL426441,CN1C(=O)Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc21,9.32,0
149,CHEMBL185799,COc1cc2c(cc1OC)C(=O)C(C1CC[N+](C)(Cc3ccccc3)CC1)=C2,6.6,0
150,CHEMBL189283,COc1cc2cc(C(=O)CC3CCC(O)C[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,6.42,0
151,CHEMBL155128,CC1CCN(Cc2ccc3ccccc3c2)CC1,5.54,0
152,CHEMBL292121,Nc1c2c(nc3ccccc13)-c1ccc(F)cc1C2,6.36,0
153,CHEMBL3318017,COc1cc2oc(-c3ccc(CN4CCCC4)cc3)cc(=O)c2cc1OC,7.47,0
154,CHEMBL2413559,c1ccc2[nH]c(-c3ccc(OCCN4CCCC4)cc3)nc2c1,5.67,0
155,CHEMBL4782581,COc1cc(/C=C/C(=O)NCC(=O)Nc2ccc(Br)cc2)ccc1O,4.99,0
156,CHEMBL4864801,COc1cc(/C=C/C(=O)N2CCN(Cc3ccc(F)cc3)CC2)ccc1O,4.84,0
157,CHEMBL4869703,COc1ccc2[nH]cc(CCNC(=O)CNC(=O)/C=C/c3ccc(O)c(OC)c3)c2c1,6.02,0
158,CHEMBL1085285,c1ccc(CN2CCC(CNc3n[nH]c4ccccc34)CC2)cc1,6.92,0
159,CHEMBL1085382,CCN1CC[C@@]2(C)c3cc(OC(=O)NCc4ccccc4)ccc3C[C@@H]12,7.16,0
160,CHEMBL340672,CC(=O)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,7.28,0
161,CHEMBL141352,CC(=O)N(CCC1CCN(Cc2ccccc2)CC1)c1ccncc1,6.97,0
162,CHEMBL336686,COc1ccc(CN2CCC(CCN3C(=O)c4ccc([N+](=O)[O-])cc4C3=O)CC2)cc1,6.36,0
163,CHEMBL142014,O=C1c2ccccc2CCN1CCC1CCN(Cc2ccccc2)CC1,6.0,0
164,CHEMBL141276,O=C1Nc2ccccc2CN1CCC1CCN(Cc2ccccc2)CC1,7.89,0
165,CHEMBL76470,CN1CCCc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc21,7.44,0
166,CHEMBL94054,Cc1cc(-c2ccccc2)n[nH]c1=NCCC1CCN(Cc2ccccc2)CC1,6.5,0
167,CHEMBL1083984,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,10.22,0
168,CHEMBL1086248,CNC(=O)Oc1cccc(CN(C)CCCOc2ccccc2)c1,7.1,0
169,CHEMBL1085938,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)C/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1,8.74,0
170,CHEMBL388627,O=C(NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1c[nH]c2ccccc12,7.44,0
171,CHEMBL596112,Cn1ccc2nc3ccccc3c-2c1.I,5.06,0
172,CHEMBL1084210,c1ccc2c(CNc3ccnc(N4CCCC4)n3)cccc2c1,5.26,0
173,CHEMBL324975,COc1ccccc1CN1CCCCCCCCN(Cc2ccccc2OC)C(=O)CCCCCNCc2ccc(cc2)CNCCCCCC1=O,5.85,0
174,CHEMBL102226,CCCCCCCSC(=O)OCC[N+](C)(C)C.[Cl-],4.3,0
175,CHEMBL147033,C#CCNC1CCc2ccc(OC(=O)N(C)C)cc2C1,5.39,0
176,CHEMBL176521,CC[N+](C)(CCCCCC(=O)N(CCCCCCCCN(C(=O)CCCCC[N+](C)(CC)Cc1ccccc1OC)C(C)C)C(C)C)Cc1ccccc1OC,8.09,0
177,CHEMBL555773,CCCCCCN(C)C(=O)Oc1ccc2c(c1)C(N)CC2.Cl,6.28,0
178,CHEMBL4066392,CCN(CC)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)cc1.[I-],6.4,0
179,CHEMBL294208,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)C2N3)cc1,5.7,0
180,CHEMBL158252,CN1CCC(CCC2C(=O)Nc3ccccc3C2=O)CC1,8.38,0
181,CHEMBL224469,CN(CCCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,4.99,0
182,CHEMBL13166,CN(C)Cc1ccc(CSCCCCCSCc2ccc(CN(C)C)o2)o1,6.05,0
183,CHEMBL156763,CC1CCN(CC2Cc3ccccc3C2=O)CC1,6.32,0
184,CHEMBL99655,CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(Cc3ccccc3)C12,4.95,0
185,CHEMBL4448188,O=C(CCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1cc2ccccc2[nH]1,9.14,0
186,CHEMBL4563209,Cl.Cl.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,7.12,0
187,CHEMBL327135,CN(C)Cc1ccc(CSCCNc2cc(Oc3ccc([N+](=O)[O-])cc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,6.57,0
188,CHEMBL555506,C#CCN(C)C1CCc2ccc(OC(=O)N(C)C)cc21.Cl,4.89,0
189,CHEMBL148760,C#CC(C)NC1CCc2ccc(SC(=O)N(C)C)cc21,5.75,0
190,CHEMBL4758271,COc1ccc2cc3[n+](cc2c1OCc1ccc(C(C)C)cc1)CCc1cc2c(cc1-3)OCO2.[Br-],5.38,0
191,CHEMBL4761840,COc1ccc2cc3[n+](cc2c1OCc1ccc(Br)cc1)CCc1cc2c(cc1-3)OCO2.[Br-],5.48,0
192,CHEMBL359312,C#CCC(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],5.06,0
193,CHEMBL174710,COc1ccccc1CN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(Cc1ccccc1OC)C(C)C)C(C)C,7.14,0
194,CHEMBL268481,CN1CC[C@H]2COc3c(O)cccc3[C@H]21,4.4,0
195,CHEMBL94217,CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1.O=C(O)/C=C/C(=O)O,8.55,0
196,CHEMBL391918,CC1=N[C@H]2CC=C3C[C@H]4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1,5.28,0
197,CHEMBL403260,CCN(CCCCCC(=O)Nc1ccc(-c2ccc(NC(=O)CCCCCN(CC)Cc3ccccc3OC)cc2)cc1)Cc1ccccc1OC,7.44,0
198,CHEMBL3322233,Cl.O=C(NCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,7.85,0
